location,location_name,type,quantile,value,target_end_date,forecast_date,target,board_name,submission_date,horizon
GM,Germany,quantile,0.5,93,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.55,97,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.6,100,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.65,105,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.7,109,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.75,113,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.8,118,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.85,122,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.9,128,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.95,133,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.975,135,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.99,137,2020-10-24,2020-10-12,2 wk ahead inc death,EpiNow2,2020-10-12,2
GM,Germany,quantile,0.01,47,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.025,48,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.05,50,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.1,55,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.15,59,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.2,64,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.25,69,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.3,75,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.35,80,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.4,86,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.45,92,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.5,98,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.55,105,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.6,111,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.65,118,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.7,126,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.75,133,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.8,141,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.85,149,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.9,158,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.95,167,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.975,173,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.99,176,2020-10-31,2020-10-12,3 wk ahead inc death,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.01,34,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.025,35,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.05,38,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.1,42,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.15,49,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.2,57,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.25,64,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.3,70,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.35,80,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.4,88,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.45,96,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.5,105,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.55,114,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.6,124,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.65,133,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.7,144,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.75,156,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.8,167,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.85,180,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.9,195,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.95,212,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.975,221,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
GM,Germany,quantile,0.99,226,2020-11-07,2020-10-12,4 wk ahead inc death,EpiNow2,2020-10-12,4
